date,name,ticker,open,high,low,close,volume
2022-04-21,KASE,KASE_INDEX,3149.97,3170.13,3144.63,3170.13,51.78
2022-04-22,KASE,KASE_INDEX,3170.13,3170.13,3109.49,3144.83,87.16
2022-04-25,KASE,KASE_INDEX,3142.11,3142.11,3043.98,3070.59,108.47
2022-04-26,KASE,KASE_INDEX,3073.85,3089.41,3043.42,3070.07,212.95
2022-04-27,KASE,KASE_INDEX,3070.07,3081.31,3024.52,3043.94,74.1
2022-04-28,KASE,KASE_INDEX,3043.94,3047.59,3014.68,3034.89,69.6
2022-04-29,KASE,KASE_INDEX,3034.89,3036.2,3018.87,3033.48,52.57
2022-05-03,KASE,KASE_INDEX,3033.12,3033.12,2979.68,2993.86,104.49
2022-05-04,KASE,KASE_INDEX,2994.3,2994.3,2941.99,2945.24,68.2
2022-05-05,KASE,KASE_INDEX,2956.51,2960.74,2895.8,2928.3,770.98
2022-05-06,KASE,KASE_INDEX,2928.3,2928.3,2893.87,2901.0,29.22
2022-05-11,KASE,KASE_INDEX,2900.96,2907.38,2769.37,2796.84,148.73
2022-05-12,KASE,KASE_INDEX,2796.57,2798.75,2767.68,2795.33,93.34
2022-05-13,KASE,KASE_INDEX,2795.33,2795.33,2748.93,2765.51,114.66
2022-05-16,KASE,KASE_INDEX,2766.79,2786.95,2738.44,2745.26,167.98
2022-05-17,KASE,KASE_INDEX,2745.22,2782.79,2745.22,2779.54,29.98
2022-05-18,KASE,KASE_INDEX,2779.56,2788.81,2748.85,2751.5,257.72
2022-05-19,KASE,KASE_INDEX,2752.19,2768.17,2739.27,2740.38,50.43
2022-05-20,KASE,KASE_INDEX,2740.38,2743.02,2705.4,2711.39,50.87
2022-05-23,KASE,KASE_INDEX,2711.39,2717.62,2685.28,2716.24,67.8
2022-05-24,KASE,KASE_INDEX,2716.05,2720.72,2673.93,2678.43,97.13
2022-05-25,KASE,KASE_INDEX,2678.39,2697.89,2629.87,2647.06,192.74
2022-05-26,KASE,KASE_INDEX,2647.14,2661.66,2633.29,2654.4,71.38
2022-05-27,KASE,KASE_INDEX,2654.4,2674.44,2652.44,2669.25,65.72
2022-05-30,KASE,KASE_INDEX,2669.25,2678.81,2655.54,2662.42,48.47
2022-05-31,KASE,KASE_INDEX,2661.77,2662.34,2628.75,2661.53,29.72
2022-06-01,KASE,KASE_INDEX,2661.53,2661.53,2628.54,2644.75,46.1
2022-06-02,KASE,KASE_INDEX,2644.99,2654.78,2625.55,2644.69,97.64
2022-06-03,KASE,KASE_INDEX,2644.69,2646.17,2629.1,2632.52,66.34
2022-06-06,KASE,KASE_INDEX,2630.28,2668.29,2627.56,2668.29,51.12
2022-06-07,KASE,KASE_INDEX,2668.29,2678.12,2660.45,2667.83,104.32
2022-06-08,KASE,KASE_INDEX,2668.78,2694.69,2655.82,2667.8,149.41
2022-06-09,KASE,KASE_INDEX,2669.9,2675.64,2658.09,2675.64,441.87
2022-06-10,KASE,KASE_INDEX,2675.64,2685.0,2669.06,2679.16,70.15
